c_1_11_1019	2	[-205.42226, -283.3726, -189.36131, -414.2205, -625.5494]
c_1_11_102	2	[-149.10117, -255.44348, -91.22102, -168.08414, -285.3141]
c_1_11_1022	1	[-373.49338, -332.1289, -444.88672, -1151.0085, -1761.8967]
c_1_11_1023	0	[-276.59854, -315.44147, -339.53885, -857.2643, -1303.7065]
c_1_11_1024	0	[-244.27078, -309.01532, -270.1729, -654.1438, -1006.5944]
c_1_11_1026	2	[-278.51822, -288.27652, -233.7457, -605.3458, -951.9725]
c_1_11_1027	2	[-188.2973, -275.58557, -159.78113, -355.8153, -563.94446]
c_1_11_1028	2	[-181.30595, -282.1887, -165.1246, -326.1854, -502.5905]
c_1_11_1033	2	[-143.0866, -255.18658, -98.252846, -181.77882, -283.846]
c_1_11_107	2	[-195.60097, -266.15308, -161.8434, -379.93393, -604.2347]
c_1_11_118	0	[-204.20337, -280.9596, -244.33714, -574.91504, -883.6832]
c_1_11_120	1	[-520.8897, -451.87582, -845.71234, -2096.5344, -3161.0552]
c_1_11_123	2	[-157.09067, -265.88022, -108.47797, -178.57748, -282.063]
c_1_11_124	0	[-276.41595, -321.38718, -355.7994, -838.02264, -1274.4022]
c_1_11_126	1	[-425.9425, -400.96347, -687.17615, -1687.0266, -2520.7637]
c_1_11_129	0	[-222.37683, -279.65875, -269.5173, -648.19366, -992.4725]
c_1_11_130	2	[-170.2464, -275.0653, -126.96989, -221.97647, -334.21832]
c_1_11_14	1	[-428.37048, -409.49222, -683.8492, -1648.5038, -2438.9075]
c_1_11_142	0	[-205.4094, -282.4268, -229.57962, -511.28033, -779.22626]
c_1_11_144	2	[-132.0442, -250.42743, -74.77357, -107.69322, -171.28491]
c_1_11_146	2	[-167.91823, -262.94357, -164.4968, -355.28107, -551.53687]
c_1_11_148	2	[-140.97435, -260.84497, -77.39535, -99.72577, -172.34796]
c_1_11_153	1	[-568.69574, -413.04428, -844.9255, -2230.0854, -3399.013]
c_1_11_155	0	[-287.1762, -307.41315, -373.69678, -916.8316, -1383.4518]
c_1_11_156	2	[-131.12334, -254.89133, -70.82494, -78.33042, -122.75691]
c_1_11_163	2	[-157.52373, -267.19232, -105.78853, -178.26099, -285.2729]
c_1_11_169	2	[-165.82298, -264.22122, -159.1728, -354.40207, -553.1739]
c_1_11_172	0	[-207.70433, -283.3453, -257.65015, -598.19556, -903.8987]
c_1_11_175	2	[-171.46622, -269.74078, -163.1345, -341.0642, -522.96234]
c_1_11_178	0	[-193.79436, -279.46716, -197.8626, -435.81274, -680.5131]
c_1_11_179	1	[-495.98294, -393.55243, -552.3416, -1434.4255, -2263.6753]
c_1_11_196	2	[-199.02097, -283.40317, -197.48532, -416.80466, -644.3473]
c_1_11_201	0	[-206.54655, -268.32352, -228.19608, -533.32355, -823.27057]
c_1_11_207	1	[-467.17868, -386.9012, -716.39764, -1838.8668, -2833.107]
c_1_11_212	0	[-302.0803, -329.23074, -412.435, -1007.66675, -1546.4581]
c_1_11_215	3	[-133.41727, -260.0403, -68.22017, -67.420555, -112.856285]
c_1_11_22	0	[-307.18958, -334.5199, -469.29678, -1158.0907, -1720.8595]
c_1_11_222	0	[-221.58115, -284.72012, -239.90862, -558.9681, -866.8658]
c_1_11_229	0	[-225.91838, -283.50705, -282.74738, -701.5784, -1083.8755]
c_1_11_236	2	[-140.49916, -259.88165, -83.42235, -112.672424, -178.29848]
c_1_11_24	1	[-814.97046, -530.7015, -1289.5638, -3372.049, -5106.687]
c_1_11_25	0	[-329.54123, -335.9822, -484.02643, -1217.2474, -1835.44]
c_1_11_254	2	[-148.2539, -262.88474, -105.80535, -175.61627, -283.5689]
c_1_11_277	0	[-200.0238, -284.4051, -228.05116, -513.96063, -781.2753]
c_1_11_29	1	[-492.27902, -421.82422, -738.557, -1826.8572, -2796.529]
c_1_11_33	2	[-161.8392, -273.95935, -130.01581, -227.23521, -348.36172]
c_1_11_338	3	[-127.41047, -256.01797, -61.35988, -49.32744, -76.70789]
c_1_11_35	0	[-309.8767, -326.0537, -498.45734, -1272.2078, -1899.0541]
c_1_11_37	1	[-1296.4563, -859.7517, -1869.676, -4260.5313, -6347.954]
c_1_11_43	2	[-157.71031, -257.22125, -107.31569, -205.70593, -338.79828]
c_1_11_498	2	[-164.09207, -268.21664, -114.717575, -209.96202, -345.58926]
